name,city,state,price,lat,lon
Bridgman,Bridgman,MI,3.559,41.9430986,-86.5569659
Brigham City,Brigham City,UT,3.60233333,41.5110434,-112.0154991
Brighton,Brighton,CO,3.32525,39.983721,-104.8110775
Brighton,Brighton,IL,3.2670000000000003,39.039773,-90.1410023
Brillion,Brillion,WI,3.36566666,44.1772188,-88.064263
Brinkley,Brinkley,AR,3.194,34.8878719,-91.1945688
Bristol,Bristol,IN,3.56233333,41.7214415,-85.8175361
Bristol,Bristol,TN,3.299,36.5945034,-82.1885212
Bristol,Bristol,VA,3.399,36.5959685,-82.1885009
Bristol,Bristol,WI,3.719,42.558908,-88.0492498
Broadview Heights,Broadview Heights,OH,3.5298333299999998,41.3139426,-81.6851271
Broadway,Broadway,VA,3.459,38.6133035,-78.7993257
Brodhead,Brodhead,WI,3.41566666,42.6197428,-89.376795
Brogue,Brogue,PA,4.099,39.8723546,-76.4846387
Broken Arrow,Broken Arrow,OK,3.090666665,36.0525993,-95.7908195
Broken Bow,Broken Bow,NE,3.299,41.4018116,-99.6393288
Broken Bow,Broken Bow,OK,2.999,34.0298629,-94.7389659
Bronte,Bronte,TX,3.474,31.8873671,-100.29176
Bronx,Bronx,NY,4.539,40.8466508,-73.8785937
Brookfield,Brookfield,MO,3.249,39.7844687,-93.0735348
Brookhaven,Brookhaven,MS,3.153166665,31.5790667,-90.4407122
Brookings,Brookings,SD,3.399,44.311461,-96.79844
Brooklyn,Brooklyn,IA,3.6081666649999997,41.7286464,-92.4455938
Brookpark,Brookpark,OH,3.669,41.4197915,-81.8238184
Brooks,Brooks,AB,4.735180215,29.34514,-98.4433576
Brooksville,Brooksville,FL,3.36011111,28.5552719,-82.3878709
Brookville,Brookville,OH,3.34066666,39.8367207,-84.4113366
Brookville,Brookville,PA,4.027333333333334,41.1604348,-79.0794702
Broussard,Broussard,LA,3.2873333325000003,30.1471506,-91.9612413
Brownfield,Brownfield,TX,2.99233333,33.1811661,-102.274237
Brownsville,Brownsville,TX,3.06122222,25.9024289,-97.4981698
Brownsville,Brownsville,WI,3.099,43.6163809,-88.4906592
Brownville,Brownville,ME,3.93233333,45.3499664,-69.0513851
